date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:56:25	0/0	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2014%20Feb%202014%2008:56:23%20GMT	http://ultimo.infortis-themes.com/demo/second2/directory/currency/switch/currency/CNY/uenc/aHR0cDovL3VsdGltby5pbmZvcnRpcy10aGVtZXMuY29tL2RlbW8vc2Vjb25kMi8,/	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/directory/currency/switch/currency/CNY/uenc/aHR0cDovL3VsdGltby5pbmZvcnRpcy10aGVtZXMuY29tL2RlbW8vc2Vjb25kMi8,/index.html	(from http://ultimo.infortis-themes.com/demo/second2/)
09:56:26	129632/129632	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:56:24%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion.html	(from )
09:56:26	0/0	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2014%20Feb%202014%2008:56:24%20GMT	http://ultimo.infortis-themes.com/demo/second2/directory/currency/switch/currency/EUR/uenc/aHR0cDovL3VsdGltby5pbmZvcnRpcy10aGVtZXMuY29tL2RlbW8vc2Vjb25kMi8,/	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/directory/currency/switch/currency/EUR/uenc/aHR0cDovL3VsdGltby5pbmZvcnRpcy10aGVtZXMuY29tL2RlbW8vc2Vjb25kMi8,/index.html	(from http://ultimo.infortis-themes.com/demo/second2/)
09:56:27	0/0	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2014%20Feb%202014%2008:56:25%20GMT	http://ultimo.infortis-themes.com/demo/second2/directory/currency/switch/currency/RUB/uenc/aHR0cDovL3VsdGltby5pbmZvcnRpcy10aGVtZXMuY29tL2RlbW8vc2Vjb25kMi8,/	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/directory/currency/switch/currency/RUB/uenc/aHR0cDovL3VsdGltby5pbmZvcnRpcy10aGVtZXMuY29tL2RlbW8vc2Vjb25kMi8,/index.html	(from http://ultimo.infortis-themes.com/demo/second2/)
09:56:30	0/0	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2014%20Feb%202014%2008:56:27%20GMT	http://ultimo.infortis-themes.com/demo/second2/customer/account/	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/customer/account/index.html	(from http://ultimo.infortis-themes.com/demo/second2/)
09:56:30	118708/118708	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:56:26%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/tops.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/tops.html	(from )
09:56:30	0/0	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2014%20Feb%202014%2008:56:30%20GMT	http://ultimo.infortis-themes.com/demo/second2/wishlist/	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/wishlist/index.html	(from http://ultimo.infortis-themes.com/demo/second2/)
09:56:30	4356/4356	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2014%20Feb%202014%2008:56:27%20GMT	http://ultimo.infortis-themes.com/demo/second2/catalogsearch/ajax/suggest/	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/catalogsearch/ajax/suggest/index.html	(from http://ultimo.infortis-themes.com/demo/second2/)
09:56:32	119538/119538	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:56:30%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/tops/evening-tops.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/tops/evening-tops.html	(from )
09:56:32	85354/85354	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:56:31%20GMT	http://ultimo.infortis-themes.com/demo/second2/customer/account/login/	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/customer/account/login/index.html	(from http://ultimo.infortis-themes.com/demo/second2/)
